object_type,display_name,update_routine,category,status,generic_animation_index,animation_heap_offset,first_frame_tile,heap_window_upper_bound,confirmed_original_pack,confirmed_unified_first_tile,pack_127_first_tile_candidate,pack_358_first_tile_candidate,pack_469_first_tile_candidate,full_frame_count,original_frame_tiles,unified_frame_tiles,projectile_or_child_dependencies,palette_requirements,special_draw_behavior,verified_in_game,notes
$00,Do Nothing variant 1,DoNothing,boss/helper/special,outside current scope,$01,$08,$5C,1,,,,,,,,,,,,,empty/none
$01,Lynel variant 1,UpdateLynel,overworld,outside current scope,$02,$0B,$CE,4,,,,,,,,,,,,,"Confirm original pack, full frame set, palette, and dependencies."
$02,Lynel variant 2,UpdateLynel,overworld,outside current scope,$03,$0F,$CE,4,,,,,,,,,,,,,"Confirm original pack, full frame set, palette, and dependencies."
$03,Moblin variant 1,UpdateMoblin,overworld,outside current scope,$04,$13,$F0,4,,,,,,,,,,,,,"Confirm original pack, full frame set, palette, and dependencies."
$04,Moblin variant 2,UpdateMoblin,overworld,outside current scope,$05,$17,$F0,4,,,,,,,,,,,,,"Confirm original pack, full frame set, palette, and dependencies."
$05,Goriya variant 1,UpdateGoriya,underworld specialized,proven,$06,$5C,$B8,4,127,$B8,$B8,$DA,$F8,4,"$B8,$BC,$B0,$B4","$B8,$BC,$B0,$B4",monster boomerang; graphics and return behavior verified,variant palettes confirmed: red and blue,normal left+2 renderer,yes,"All directions and animation frames verified. Boomerang throw, return, and catch behavior confirmed."
$06,Goriya variant 2,UpdateGoriya,underworld specialized,proven,$07,$60,$B8,4,127,$B8,$B8,$DA,$F8,4,"$B8,$BC,$B0,$B4","$B8,$BC,$B0,$B4",monster boomerang; graphics and return behavior verified,variant palettes confirmed: red and blue,normal left+2 renderer,yes,"All directions and animation frames verified. Boomerang throw, return, and catch behavior confirmed."
$07,Octorock variant 1,UpdateOctorock,overworld,outside current scope,$08,$1B,$B4,6,,,$B4,$D6,$F4,,,,,,,,"Confirm original pack, full frame set, palette, and dependencies."
$08,Octorock variant 2,UpdateOctorock,overworld,outside current scope,$09,$1B,$B4,6,,,$B4,$D6,$F4,,,,,,,,"Confirm original pack, full frame set, palette, and dependencies."
$09,Octorock variant 3,UpdateOctorock,overworld,outside current scope,$0A,$21,$B4,6,,,$B4,$D6,$F4,,,,,,,,"Confirm original pack, full frame set, palette, and dependencies."
$0A,Octorock variant 4,UpdateOctorock,overworld,outside current scope,$0B,$21,$B4,6,,,$B4,$D6,$F4,,,,,,,,"Confirm original pack, full frame set, palette, and dependencies."
$0B,Darknut variant 1,UpdateDarknut,underworld specialized,proven,$0C,$64,$B8,6,358,$DA,$B8,$DA,$F8,6,"$B8,$AC,$B4,$BC,$B0,$B4","$DA,$CE,$D6,$DE,$D2,$D6",none,variant palettes confirmed: red and blue,normal left+2 renderer; frontal shield blocking,yes,All directions and walking frames verified. Frontal attacks blocked; side and rear damage confirmed.
$0C,Darknut variant 2,UpdateDarknut,underworld specialized,proven,$0D,$6A,$B8,6,358,$DA,$B8,$DA,$F8,6,"$B8,$AC,$B4,$BC,$B0,$B4","$DA,$CE,$D6,$DE,$D2,$D6",none,variant palettes confirmed: red and blue,normal left+2 renderer; frontal shield blocking,yes,All directions and walking frames verified. Frontal attacks blocked; side and rear damage confirmed.
$0D,Tektite Or Boulder variant 1,UpdateTektiteOrBoulder,overworld,outside current scope,$0E,$27,$CA,2,,,,,,,,,,,,,"Confirm original pack, full frame set, palette, and dependencies."
$0E,Tektite Or Boulder variant 2,UpdateTektiteOrBoulder,overworld,outside current scope,$0F,$29,$CA,2,,,,,,,,,,,,,"Confirm original pack, full frame set, palette, and dependencies."
$0F,Blue Leever,UpdateBlueLeever,overworld,outside current scope,$10,$2B,$BC,10,,,$BC,$DE,$FC,,,,,,,,"Confirm original pack, full frame set, palette, and dependencies."
$10,Red Leever,UpdateRedLeever,overworld,outside current scope,$11,$35,$BC,10,,,$BC,$DE,$FC,,,,,,,,"Confirm original pack, full frame set, palette, and dependencies."
$11,Zora,UpdateZora,overworld,outside current scope,$12,$3F,$BC,10,,,$BC,$DE,$FC,,,,,,,,"Confirm original pack, full frame set, palette, and dependencies."
$12,Vire,UpdateVire,underworld specialized,proven,$13,$70,$AC,4,469,$EC,$AC,$CE,$EC,4,"$AC,$AE,$B0,$B2","$EC,$EE,$F0,$F2",splits into two Red Keese; Red Keese use common underworld CHR,,normal left+2 renderer,yes,All four Vire frames verified. Wooden Sword split and resulting Red Keese graphics and behavior confirmed.
$13,Zol,UpdateZol,underworld specialized,proven,$14,$74,$A8,2,358,$CA,$A8,$CA,$CA,2,"$A8,$AA","$CA,$CC",splits into Gel; Gel uses common underworld CHR,,normal left+2 renderer,yes,Wooden Sword split verified. White Sword kills outright. Both Zol and Gel graphics confirmed.
$14,Gel variant 1,UpdateGel,underworld common,already compatible,$15,$76,$92,2,,,,,,,,,,,,,"Confirm original pack, full frame set, palette, and dependencies."
$15,Gel variant 2,UpdateGel,underworld common,already compatible,$16,$76,$92,2,,,,,,,,,,,,,"Confirm original pack, full frame set, palette, and dependencies."
$16,Pols Voice,UpdatePolsVoice,underworld specialized,proven,$17,$78,$A0,2,358,$C2,$A0,$C2,$E4,2,"$A0,$A2","$C2,$C4",none,,normal left+2 renderer,yes,Both hopping frames and orientations verified. Bow and arrow combat verified.
$17,Like Like,UpdateLikeLike,underworld specialized,proven,$18,$7A,$A6,4,469,$EA,$A6,$C8,$EA,,,,,,,yes,Graphics pack and unified rendering verified in-game.
$18,Digdogger variant 1,UpdateDigdogger,boss/helper/special,outside current scope,$19,$7E,$D8,2,,,,,,,,,,,,,Digdogger boss form
$19,Do Nothing variant 2,DoNothing,boss/helper/special,outside current scope,$1A,$80,$00,2,,,,,,,,,,,,,unused/do-nothing
$1A,Peahat,UpdatePeahat,overworld,outside current scope,$1B,$49,$C6,2,,,,,,,,,,,,,"Confirm original pack, full frame set, palette, and dependencies."
$1B,Keese variant 1,UpdateKeese,underworld common,already compatible,$1C,$82,$9A,2,,,,,,,,,,,,,"Confirm original pack, full frame set, palette, and dependencies."
$1C,Keese variant 2,UpdateKeese,underworld common,already compatible,$1D,$84,$9A,2,,,,,,,,,,,,,"Confirm original pack, full frame set, palette, and dependencies."
